Time_s,Target_M1,Actual_M1,Target_M2,Actual_M2,Target_M3,Actual_M3
0.036,30.39,33.51,29.85,30.26,30.25,30.17
0.088,31.06,33.51,28.97,29.95,30.5,30.17
0.140,32.82,33.51,26.83,29.27,31.22,30.76
0.182,34.47,33.51,25.02,28.64,31.94,31.4
0.235,36.47,33.51,23.05,27.91,32.88,32.11
0.287,40.05,33.53,20.03,27.23,34.72,32.94
0.340,42.76,33.63,18.12,26.18,36.2,33.59
0.383,47.1,34.21,15.62,25.03,38.75,34.42
0.436,50.07,35.01,14.25,23.87,40.6,35.06
0.488,54.39,36.07,12.68,22.67,43.41,35.83
0.541,57.03,37.39,11.93,21.47,45.2,36.6
0.583,59.35,38.92,11.4,20.16,46.82,37.25
0.636,62.0,40.57,10.92,18.85,48.7,38.13
0.688,63.06,42.29,10.76,17.7,49.47,38.9
0.731,63.43,44.02,10.71,16.65,49.74,39.73
0.784,63.43,45.71,10.71,15.92,49.74,40.32
0.836,63.43,47.33,10.71,15.29,49.74,41.26
0.889,63.43,48.9,10.71,14.66,49.74,41.85
0.932,63.43,50.39,10.71,14.03,49.74,42.68
0.984,63.43,51.74,10.71,13.35,49.74,43.33
1.037,63.43,52.99,10.71,12.72,49.74,44.1
1.090,63.43,54.13,10.71,12.04,49.74,44.86
1.132,63.43,55.15,10.71,11.41,49.74,45.51
1.185,63.43,56.11,10.71,10.73,49.74,46.34
1.237,63.34,57.03,10.72,10.79,49.67,46.99
1.290,62.61,57.81,10.82,10.89,49.14,47.87
1.334,60.36,58.57,11.2,10.89,47.53,48.41
1.386,58.24,59.06,11.64,11.47,46.04,48.11
1.439,54.39,59.37,12.68,12.09,43.41,47.28
1.482,51.55,59.36,13.66,12.57,41.54,46.69
1.534,48.59,59.15,14.9,13.4,39.67,45.75
1.587,44.18,58.83,17.24,13.98,37.02,45.16
1.640,41.38,58.43,19.06,14.66,35.44,44.33
1.683,37.59,57.73,22.03,15.29,33.44,43.68
1.735,35.43,56.87,24.05,16.34,32.39,42.86
1.788,32.82,55.83,26.83,17.91,31.22,42.03
1.840,31.55,54.73,28.36,19.69,30.69,41.2
1.882,30.39,53.58,29.85,21.57,30.25,40.44
1.935,30.16,52.37,30.16,23.56,30.16,39.67
1.988,30.16,51.12,30.16,25.03,30.16,38.96
2.040,30.16,49.92,30.16,25.29,30.16,38.25
2.083,30.16,48.74,30.16,26.18,30.16,37.43
2.136,30.16,47.63,30.16,26.65,30.16,36.84
2.188,30.16,46.72,30.16,27.38,30.16,35.95
2.241,30.16,45.91,30.16,28.01,30.16,35.36
2.283,30.16,45.06,30.16,28.69,30.16,34.47
2.335,30.16,44.25,30.16,29.37,30.16,33.83
2.388,30.16,43.4,30.16,30.0,30.16,33.0
2.440,30.16,42.7,30.16,30.42,30.16,32.35
2.482,30.39,41.96,29.85,30.05,30.25,31.64
2.535,31.55,41.34,28.36,29.42,30.69,30.81
2.587,32.82,40.74,26.83,28.74,31.22,30.81
2.640,35.43,40.41,24.05,28.06,32.39,31.64
2.682,37.59,40.35,22.03,27.43,33.44,32.29
2.738,41.38,40.35,19.06,26.7,35.44,33.18
2.790,44.18,40.39,17.24,25.65,37.02,33.71
2.833,47.1,40.4,15.62,24.5,38.75,34.65
2.886,51.55,40.58,13.66,23.35,41.54,35.24
2.939,54.39,41.16,12.68,22.15,43.41,36.13
2.992,58.24,41.97,11.64,20.89,46.04,36.78
3.036,60.36,42.96,11.2,19.74,47.53,37.6
3.088,62.61,44.09,10.82,18.59,49.14,38.25
3.141,63.34,45.36,10.72,17.49,49.67,39.2
3.183,63.43,46.72,10.71,16.44,49.74,39.91
3.235,63.43,48.07,10.71,15.86,49.74,40.61
3.288,63.43,49.32,10.71,15.18,49.74,41.38
3.341,63.43,50.5,10.71,14.55,49.74,42.03
3.383,63.43,51.6,10.71,13.93,49.74,42.92
3.436,63.43,52.6,10.71,13.25,49.74,43.51
3.488,63.43,53.51,10.71,12.62,49.74,44.33
3.541,63.43,54.39,10.71,11.88,49.74,45.04
3.583,63.43,55.14,10.71,11.31,49.74,45.81
3.635,63.43,55.88,10.71,10.68,49.74,46.52
3.688,63.34,56.53,10.72,10.84,49.67,47.23
3.741,62.0,57.17,10.92,10.89,48.7,48.05
3.783,60.36,57.62,11.2,10.89,47.53,48.41
3.836,57.03,58.02,11.93,11.68,45.2,47.87
3.888,54.39,58.12,12.68,12.25,43.41,47.17
3.940,50.07,58.0,14.25,12.88,40.6,46.46
3.983,47.1,57.68,15.62,13.61,38.75,45.57
4.035,44.18,57.31,17.24,14.19,37.02,44.92
4.090,40.05,56.84,20.03,14.92,34.72,44.1
4.132,37.59,56.01,22.03,15.55,33.44,43.51
4.185,34.47,55.04,25.02,16.86,31.94,42.62
4.237,32.82,53.95,26.83,18.48,31.22,41.97
4.290,31.06,52.78,28.97,20.26,30.5,41.03
4.332,30.39,51.56,29.85,22.2,30.25,40.38
4.387,30.16,50.28,30.16,24.19,30.16,39.55
4.440,30.16,48.99,30.16,25.18,30.16,38.9
4.482,30.16,47.79,30.16,25.71,30.16,38.13
4.535,30.16,46.63,30.16,26.44,30.16,37.37
4.587,30.16,45.55,30.16,26.96,30.16,36.72
4.640,30.16,44.63,30.16,27.7,30.16,35.89
4.682,30.16,43.82,30.16,28.32,30.16,35.24
4.734,30.16,42.97,30.16,29.01,30.16,34.36
4.787,30.16,42.12,30.16,29.69,30.16,33.71
4.840,30.16,41.35,30.16,30.26,30.16,32.88
4.882,30.22,40.58,30.08,30.37,30.19,32.29
4.934,30.67,39.94,29.48,29.95,30.35,31.52
4.987,31.55,39.26,28.36,29.27,30.69,30.76
5.040,33.6,38.84,25.96,28.64,31.55,30.99
5.082,35.43,38.51,24.05,27.96,32.39,31.82
5.135,38.79,38.39,21.02,27.38,34.05,32.59
5.187,41.38,38.39,19.06,26.49,35.44,33.35
5.240,45.63,38.46,16.4,25.45,37.87,34.0
5.282,48.59,38.69,14.9,24.29,39.67,34.83
5.334,52.99,39.12,13.14,23.04,42.48,35.48
5.390,55.75,39.8,12.28,21.83,44.32,36.3
5.432,58.24,40.69,11.64,20.63,46.04,36.89
5.485,61.25,41.75,11.04,19.42,48.16,37.84
5.538,62.61,42.94,10.82,18.27,49.14,38.43
5.591,63.43,44.25,10.71,17.17,49.74,39.49
5.633,63.43,45.62,10.71,16.23,49.74,40.08
5.685,63.43,46.94,10.71,15.71,49.74,40.91
5.738,63.43,48.18,10.71,14.97,49.74,41.62
5.790,63.43,49.36,10.71,14.4,49.74,42.33
5.833,63.43,50.46,10.71,13.66,49.74,43.09
