Time_s,Target_M1,Actual_M1,Target_M2,Actual_M2,Target_M3,Actual_M3
0.012,63.15,63.77,10.7,10.79,49.75,49.76
0.066,61.05,63.77,10.66,10.79,49.85,49.65
0.119,57.24,63.74,10.73,10.79,50.15,50.0
0.161,49.33,63.41,11.54,10.89,51.38,50.65
0.216,43.32,62.66,12.87,11.88,52.91,51.42
0.268,34.48,61.67,16.33,12.3,56.37,52.13
0.311,29.36,60.2,19.51,13.09,59.3,52.89
0.363,25.21,58.31,23.1,14.24,62.46,53.6
0.416,20.96,56.14,28.35,15.97,66.92,54.55
0.468,19.34,53.82,31.08,18.01,69.19,56.26
0.511,18.46,51.51,32.85,20.21,70.65,58.21
0.564,18.46,49.25,32.85,22.2,70.65,60.15
0.617,18.46,47.06,32.85,24.08,70.65,61.22
0.669,18.46,44.92,32.85,26.07,70.65,61.87
0.712,18.46,42.85,32.85,27.8,70.65,62.63
0.764,18.46,41.0,32.85,28.17,70.65,63.28
0.816,18.46,39.38,32.85,28.95,70.65,64.05
0.868,18.46,37.82,32.85,29.58,70.65,64.7
0.910,18.46,36.36,32.85,30.16,70.65,65.58
0.963,18.46,35.03,32.85,30.89,70.65,66.23
1.016,18.46,33.74,32.85,31.41,70.65,67.12
1.068,18.05,32.49,33.19,32.15,69.72,67.71
1.110,16.33,31.3,34.99,32.83,65.41,68.42
1.165,14.91,30.16,37.18,33.51,61.16,67.83
1.217,13.18,28.94,42.1,34.14,53.76,67.12
1.270,12.68,27.61,46.38,35.39,48.76,65.94
1.312,12.85,26.34,51.23,37.12,44.16,64.29
1.365,14.24,25.23,58.78,39.16,38.6,62.28
1.417,15.62,24.28,63.39,41.41,35.98,60.04
1.470,17.59,23.4,68.63,43.93,33.61,57.85
1.512,18.35,22.72,70.41,46.65,32.93,55.67
1.564,18.46,22.06,70.65,49.53,32.85,53.42
1.616,18.46,21.56,70.65,52.3,32.85,51.3
1.668,18.46,21.12,70.65,54.76,32.85,49.29
1.711,18.46,20.67,70.65,57.02,32.85,47.4
1.763,18.46,20.34,70.65,59.16,32.85,45.69
1.816,18.46,20.04,70.65,61.15,32.85,44.04
1.868,18.46,19.63,70.65,63.04,32.85,42.62
1.910,18.46,19.3,70.65,64.82,32.85,42.09
1.963,18.46,19.14,70.65,66.44,32.85,41.32
2.015,18.46,19.07,70.65,67.23,32.85,40.55
2.068,18.85,19.07,69.98,67.75,32.03,39.85
2.110,20.04,19.07,68.16,68.48,29.83,39.08
2.163,22.12,19.07,65.53,69.06,26.69,38.13
2.215,27.15,19.07,60.87,68.64,21.28,36.84
2.267,31.81,19.11,57.79,67.8,17.85,35.18
2.319,40.29,19.42,53.92,66.6,13.83,33.23
2.363,46.36,20.26,52.07,65.18,12.11,31.23
2.416,54.84,21.51,50.44,63.61,10.88,29.1
2.468,59.33,23.21,49.96,61.94,10.67,27.15
2.510,62.34,25.25,49.78,60.37,10.68,25.27
2.563,63.43,27.47,49.74,58.95,10.71,23.49
2.615,63.43,29.73,49.74,57.7,10.71,21.9
2.668,63.43,32.01,49.74,56.96,10.71,20.43
2.710,63.43,34.3,49.74,56.34,10.71,19.19
2.763,63.43,36.53,49.74,55.71,10.71,18.6
2.815,63.43,38.63,49.74,55.08,10.71,17.83
2.867,63.43,40.54,49.74,54.4,10.71,17.06
2.920,63.43,42.3,49.74,53.77,10.71,16.41
2.962,63.43,43.94,49.74,53.09,10.71,15.58
3.015,63.43,45.52,49.74,52.46,10.71,14.94
3.068,63.34,47.0,49.46,51.78,10.77,14.11
3.111,62.7,48.36,47.39,51.15,11.26,13.4
3.163,61.03,49.54,41.34,50.47,13.13,12.63
3.215,59.88,50.49,36.13,49.37,15.4,11.98
3.267,58.73,51.28,27.89,47.85,20.63,12.51
3.320,58.59,51.93,22.86,45.97,25.29,13.34
3.363,59.4,52.45,16.89,43.93,33.37,14.4
3.417,60.44,52.83,14.15,41.73,38.81,16.47
3.469,61.63,53.34,12.33,39.37,43.66,18.83
3.511,63.09,53.8,10.95,37.07,48.66,21.25
3.564,63.43,54.21,10.71,34.87,49.74,23.85
3.616,63.43,54.78,10.71,32.72,49.74,26.45
3.669,63.43,55.28,10.71,30.79,49.74,28.63
3.711,63.43,55.76,10.71,28.8,49.74,30.81
3.764,63.43,56.33,10.71,26.86,49.74,33.06
3.816,63.43,56.7,10.71,25.08,49.74,35.24
3.868,63.43,57.08,10.71,23.46,49.74,37.49
3.910,63.43,57.58,10.71,21.99,49.74,39.02
3.963,63.43,57.88,10.71,20.52,49.74,39.49
4.015,63.43,57.98,10.71,19.21,49.74,40.38
4.067,63.43,57.98,10.71,17.96,49.74,41.03
4.111,61.05,57.98,10.66,16.81,49.85,41.68
4.164,57.24,57.98,10.73,15.97,50.15,42.5
4.216,49.33,57.9,11.54,15.34,51.38,43.15
4.268,43.32,57.56,12.87,14.71,52.91,44.04
4.310,34.48,56.8,16.33,14.03,56.37,44.63
