Time_s,Target_M1,Actual_M1,Target_M2,Actual_M2,Target_M3,Actual_M3
0.032,0.0,0.0,0.0,0.0,0.0,0.0
0.084,0.0,0.0,0.0,0.0,0.0,0.0
0.137,0.0,0.0,0.0,0.0,0.0,0.0
0.179,0.0,0.0,0.0,0.0,0.0,0.0
0.231,0.0,0.0,0.0,0.0,0.0,0.0
0.283,39.24,0.0,2.2,0.0,29.36,0.0
0.336,48.06,0.0,9.54,0.58,37.84,1.18
0.390,54.98,1.44,15.04,1.94,44.48,4.25
0.432,55.48,5.28,15.43,3.77,44.96,7.56
0.485,55.48,9.09,15.43,5.76,44.96,11.16
0.537,55.48,12.7,15.43,7.59,44.96,14.52
0.579,55.48,16.17,15.43,9.42,44.96,17.59
0.632,55.48,19.65,15.43,10.42,44.96,20.48
0.684,55.48,22.92,15.43,10.79,44.96,23.14
0.737,55.48,25.89,15.43,11.68,44.96,25.5
0.779,55.48,28.71,15.43,12.2,44.96,27.69
0.831,55.48,31.46,15.43,12.88,44.96,29.81
0.883,55.48,34.06,15.43,13.51,44.96,32.11
0.936,55.48,36.54,15.43,14.19,44.96,34.3
0.988,55.48,38.88,15.43,14.92,44.96,36.48
1.030,55.48,40.99,15.43,15.45,44.96,37.37
1.083,55.48,42.88,15.43,15.71,44.96,37.96
1.136,55.48,44.6,15.43,15.39,44.96,38.84
1.189,55.48,46.21,15.43,15.45,44.96,39.37
1.231,55.48,47.79,15.43,15.45,44.96,40.26
1.284,55.48,49.3,15.43,15.45,44.96,40.97
1.336,55.48,50.62,15.43,15.45,44.96,41.68
1.388,55.48,51.73,15.43,15.45,44.96,42.5
1.430,55.48,52.75,15.43,15.45,44.96,43.15
1.483,55.48,53.74,15.43,15.45,44.96,43.98
1.535,55.48,54.62,15.43,15.45,44.96,44.57
1.588,55.48,55.41,15.43,15.45,44.96,45.34
1.630,55.48,55.83,15.43,15.45,44.96,44.92
1.682,55.48,55.8,15.43,15.45,44.96,44.98
1.735,55.48,55.78,15.43,15.45,44.96,45.04
1.787,55.48,55.75,15.43,15.45,44.96,45.04
1.829,55.48,55.75,15.43,15.45,44.96,45.04
1.882,55.48,55.75,15.43,15.45,44.96,45.04
1.934,55.48,55.75,15.43,15.45,44.96,45.04
1.987,55.48,55.75,15.43,15.45,44.96,45.04
2.029,55.48,55.75,15.43,15.45,44.96,45.04
